,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-26,6t. 35min. ,1 stop ATH ,12:35–20:10,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9.OpE0eUgMt9vBDARZyLA7ng.15061.837efb3a320714a268a73f7946723f39&h=ad6ea90a6b76&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2253
1,63cy,2022-07-26,11t. 45min. ,1 stop ATH ,12:35–01:20+1,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9.OpE0eUgMt9vBDARZyLA7ng.15061.91982246a3c70b313170b021a60b794b&h=13dff9ad1aa2&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2253
2,63cy,2022-07-26,6t. 45min. ,1 stop DUS ,09:30–17:15,Eurowings,"
1.489 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9.tzK8-y656k0.21156.3ce9a385db83f240d56b65fd7aa389c6&h=5647b51737f6&sub=E026f24d21db&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2253
3,63cy,2022-07-26,7t. 40min. ,1 stop HEL ,12:25–21:05,Finnair,"
1.520 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9._EXVo5H1FyPBDARZyLA7ng.21596.294408525af797074464747e4670a1d2&h=9f4f69db4111&sub=E-197c53de357&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2253
4,63cy,2022-07-26,11t. 20min. ,1 stop HEL ,08:45–21:05,Finnair,"
1.520 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9._EXVo5H1FyPBDARZyLA7ng.21596.f69d28a37f48dcb722517268f65cb639&h=a4c9865657ec&sub=E-197c53de357&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2253
5,63cy,2022-07-26,10t. 00min. ,"2 stop ATH, SKG ",12:35–23:35,Aegean Airlines,"
1.725 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.24496.9ee7c5717dcbb59f48b1270f8fa4fb55&h=1dc67e42edfe&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2253
6,63cy,2022-07-26,6t. 50min. ,1 stop AMM ,15:55–23:45,Royal Jordanian,"
2.027 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9.fMX_LU8SGCqTYUaMc-KbMA.28800.0f87468f284bbad1202da9626bab6561&h=0e637fc7a8d6&sub=E-14b8eadbcf8&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2253
7,63cy,2022-07-26,13t. 20min. ,1 stop HEL ,06:45–21:05,Finnair,"
1.520 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9._EXVo5H1FyPBDARZyLA7ng.21596.b49554e687d68a2e22e2ab21b55cc9a2&h=7ca01289b75c&sub=E-197c53de357&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2253
8,63cy,2022-07-26,5t. 45min. ,1 stop VIE ,09:50–16:35,Austrian Airlines,"
2.815 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9.tzkMHu-8yP0.39995.842025ea78e9d7c516634733ae515d36&h=604853df62dc&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2253
9,63cy,2022-07-26,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.815 kr. ",https://kayak.dk/book/flight?code=ShAiEMvBX9.tzkMHu-8yP0.39995.23cbd5fa6b5bbd6c402679f73946c62b&h=ac00de9bc785&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220506-2253
