,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,82cy,14 juli,14t. 10min. ,1 stop WAW ,19:45–09:55+1,LOT,"
1.084 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M3&plid=5240433&pid=LOTtransitSH_FSR_da_DK&prv=LOTtransitSH_FSR_da_DK&srch=LPHiGgYKsH&ploc=da_DK&atype=SponsoredResult&prc=1084.00&cpnid=7075033&xpExt=&aidExt=&lid=LOTtransitSH_FSR_da_DK-LPHiGgYKsH&qorig=Airport:CPH&octid=&qdest=Airport:CDG&qstart=1657771200000&qend=1657771200000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=36014&qdac=CDG&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=xnywRnobCeQXIuUq4MySfg==&ah=XIxgrfi8xcAwWmzH87XQgWz5sQ4lvhPgQWt3NfQHyT0&resid=aea529e6f407af4f45e114567dbb97f4&bookid=E-17803de801d&seekProv=LO&trueProv=AMADEUSMASTERINT&fid=&rank=3&stid=&qadults=2&qchild=0&_sid_=R-567zJV8fJf16tENXbSNkU-4jtClM1KW3OP8VN2bnVwAz5lcIG9sdAA3SEywfxT5&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220505-1355
1,82cy,14 juli,1t. 55min. ,direkte ,20:25–22:20,Air France,"
854 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.iQv-fVD2M68vemUm8g9gjQ.12106.5edef6de5472d934288fbcf9a6826820&h=0a9d1c916b0e&sub=E-13233d9e70f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220505-1355
2,82cy,14 juli,24t. 15min. ,1 stop WAW ,14:00–14:15+1,Wizz Air,"
493 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.6984.9283192d7d1ee55147979cd30e990e45&h=737e6fc04e1c&sub=E-15e20529e1b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220505-1355
3,82cy,14 juli,2t. 00min. ,direkte ,20:35–22:35,easyJet,"
789 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.UwQrSnW3-tbTYwQ_VUUUMA.11188.208dc8a1bf53ee1d0d97e926ca546c5b&h=78ddf776b82d&sub=E-114fcb80b3e&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220505-1355
4,82cy,14 juli,2t. 00min. ,direkte ,09:30–11:30,Norwegian,"
946 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.0Cx9insxRz2lB60_7nlgXQ.13414.b1f59d7299fefcd7e9a9aedb0f3e389e&h=3b3f9cfb7357&sub=E-10d8a89f4e9&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220505-1355
5,82cy,14 juli,2t. 20min. ,direkte ,18:40–21:00,Norwegian,"
946 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.0Cx9insxRz2lB60_7nlgXQ.13414.632c7899f1f649843f0bea0c8b426a5b&h=aff9c6170d01&sub=E-10d8a89f4e9&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220505-1355
6,82cy,14 juli,2t. 25min. ,direkte ,06:05–08:30,SAS,"
994 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.ZheJHZqHLmzKJvcpKN_waA.14085.00010d0e84edac9e51099e00ced364fe&h=7f0129be0850&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220505-1355
7,82cy,14 juli,2t. 25min. ,direkte ,18:15–20:40,SAS,"
994 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.ZheJHZqHLmzKJvcpKN_waA.14085.3160b91cdac68a3e26df459b4030753f&h=32c029dffe2f&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220505-1355
8,82cy,14 juli,1t. 55min. ,direkte ,08:25–10:20,SAS,"
1.239 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.ZheJHZqHLmzKJvcpKN_waA.17555.292d78cbbb899f779c2a39baf6ebc1e4&h=5080860fcefd&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220505-1355
9,82cy,14 juli,1t. 55min. ,direkte ,19:00–20:55,CityJet,"
1.239 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.ZheJHZqHLmzKJvcpKN_waA.17555.cbd232adc1552c2733576fbe2e86599b&h=214490f79ce0&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220505-1355
10,82cy,14 juli,1t. 55min. ,direkte ,19:00–20:55,SAS,"
1.296 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.18369.4fa0544c5d735b79ef53dfad04275b61&h=fd905f2d60ab&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220505-1355
11,82cy,14 juli,2t. 20min. ,direkte ,06:15–08:35,Norwegian,"
1.039 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.14733.f0aa8abe75f55e2836a4cc762eb62915&h=47252c09c863&sub=E-12e38890705&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10,20220505-1355
12,82cy,14 juli,2t. 00min. ,direkte ,06:25–08:25,Air France,"
1.319 kr. ",https://kayak.dk/book/flight?code=LPHiGgYKsH.0Cx9insxRz2lB60_7nlgXQ.18696.5cb83be67e1bba61fd5d723af2ff723b&h=6d1da3336664&sub=E-1d756e8a17b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11,20220505-1355
