,Out Date,Return Date,Out Duration,Return Duration,Out Stops,Return Stops,Out Time,Return Time,Company names,Price,Url,timestamp
0,14 juli,25 juli,20t. 30min. ,11t. 25min. ,1 stop WAW ,1 stop GDN ,14:00–11:30+1,21:05–07:30+1,"Wizz Air, Ryanair","
1.630 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M2&plid=9965447&pid=MyTrip_FSR_da_DK&prv=MyTrip_FSR_da_DK&srch=LNECF6KZui&ploc=da_DK&atype=SponsoredResult&prc=1630.00&cpnid=7073550&xpExt=&aidExt=&lid=MyTrip_FSR_da_DK-LNECF6KZui&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1657771200000&qend=1658721600000&qtravelers=2&qrooms=0&qow=false&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=fEOIOOjpbH4OJ1TGW57whw==&ah=2pvSaCFQUmo3igXqzP1bU5wMeYDOOCoL$3sfIkdeIgA&resid=19cbb5ca0f6590c978dbd6f5fde7894e&bookid=E-188da691dac&seekProv=SEAT24&trueProv=SEAT24&fid=&rank=2&stid=&qadults=2&qchild=0&_sid_=R-5y6i6HQ0d4MI0B5FNlufD-One2AQuLXPbOtjZe2Vp7SJGm50wBHfN16k_yBhsRz&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220504-1235
1,14 juli,25 juli,4t. 05min. ,6t. 20min. ,direkte ,1 stop ATH ,20:35–01:40+1,05:15–10:35,"Wizz Air, Aegean Airlines","
2.800 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.39609.16249f2736ecde58bef8cd47ac592c37&h=e511941a147a&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220504-1235
2,14 juli,25 juli,20t. 30min. ,11t. 25min. ,1 stop WAW ,1 stop GDN ,14:00–11:30+1,21:05–07:30+1,"Wizz Air, Ryanair","
1.622 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.22945.19cbb5ca0f6590c978dbd6f5fde7894e&h=3fcdc985ae6a&sub=E-197a5e5b9e5&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220504-1235
3,14 juli,25 juli,6t. 50min. ,6t. 20min. ,1 stop ATH ,1 stop ATH ,17:30–01:20+1,05:15–10:35,Aegean Airlines,"
2.647 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.tb4DAgHpn3sEdn9PX-8xhQ.37438.d83dde5402a50c5fce5656a992c61661&h=c82fc8168d5e&sub=E-1189fc906d1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220504-1235
4,14 juli,25 juli,5t. 45min. ,6t. 15min. ,1 stop VIE ,1 stop VIE ,09:50–16:35,17:25–22:40,Austrian Airlines,"
3.237 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.45791.c207723f7b361537317c83c6c245b03f&h=5fdef6c4b0fc&sub=E-13789a2df30&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220504-1235
5,14 juli,25 juli,7t. 40min. ,6t. 15min. ,1 stop MUC ,1 stop VIE ,06:10–14:50,17:25–22:40,"Lufthansa, Austrian Airlines","
3.043 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.43047.a07bd0aed520394550ffb97620ad66a6&h=61baf9824ce2&sub=E-196056d6c83&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220504-1235
6,14 juli,25 juli,6t. 05min. ,6t. 15min. ,1 stop VIE ,1 stop VIE ,17:35–00:40+1,17:25–22:40,Austrian Airlines,"
3.240 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.45833.30a29ea64e41900e9f3f2bb1a3c5a49a&h=6376752b4971&sub=E-13789a2df30&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220504-1235
7,14 juli,25 juli,6t. 05min. ,6t. 15min. ,1 stop FRA ,1 stop VIE ,19:15–02:20+1,17:25–22:40,"Lufthansa, Austrian Airlines","
3.388 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.47927.1c9481eaa6c03ad79fae7e961b458c42&h=2720ea7248be&sub=E-196056d6c83&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220504-1235
8,14 juli,25 juli,5t. 45min. ,7t. 05min. ,1 stop VIE ,1 stop MUC ,09:50–16:35,15:50–21:55,"Austrian Airlines, Lufthansa","
3.548 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.50190.be72e0e3192eb3c4bec56fe3566388a2&h=d06eef9dea73&sub=E-19c860a62ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220504-1235
9,14 juli,25 juli,6t. 05min. ,7t. 05min. ,1 stop VIE ,1 stop MUC ,17:35–00:40+1,15:50–21:55,"Austrian Airlines, Lufthansa","
3.551 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.50233.df79dda5e183810bc97b079512fe78c5&h=851b09292dfe&sub=E-19c860a62ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220504-1235
10,14 juli,25 juli,4t. 05min. ,6t. 15min. ,direkte ,1 stop VIE ,20:35–01:40+1,17:25–22:40,"Wizz Air, Austrian Airlines","
3.660 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.51775.fe6f201be8b150d025b82409f7717e0c&h=068590b46b79&sub=E-17a363e9791&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220504-1235
11,14 juli,25 juli,5t. 45min. ,6t. 20min. ,1 stop VIE ,1 stop FRA ,09:50–16:35,17:10–22:30,"Austrian Airlines, Lufthansa","
3.671 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.51930.83f5ad2893105b6d15a23c8fb410732b&h=e8a6690af431&sub=E-19c860a62ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10,20220504-1235
12,14 juli,25 juli,6t. 05min. ,6t. 20min. ,1 stop VIE ,1 stop FRA ,17:35–00:40+1,17:10–22:30,"Austrian Airlines, Lufthansa","
3.674 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.51973.785e36f057d0d93ef62cdb968a3b92b5&h=22ebd0166935&sub=E-19c860a62ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11,20220504-1235
13,14 juli,25 juli,4t. 05min. ,11t. 25min. ,direkte ,1 stop GDN ,20:35–01:40+1,21:05–07:30+1,"Wizz Air, Ryanair","
1.952 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.27606.250404209a5aa19b1606f57938a8144e&h=53f1761d330a&sub=E-197a5e5b9e5&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12,20220504-1235
14,14 juli,25 juli,4t. 05min. ,11t. 05min. ,direkte ,1 stop GDN ,20:35–01:40+1,21:05–07:10+1,"Wizz Air, SAS","
2.461 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.47F3EeHCWiIEdn9PX-8xhQ.34814.ec91950d1ee181b774494bbd0f579cfc&h=42dee6415901&sub=E-1db6f97c17c&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M13,20220504-1235
15,14 juli,25 juli,4t. 05min. ,10t. 30min. ,direkte ,1 stop BEG ,20:35–01:40+1,10:45–20:15,"Wizz Air, Air Serbia","
3.087 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.7e2QikHpsTMDzQq2dWkU9A.43666.f8f5d3fc0e1cb133e732e103f83ec387&h=166e56fb270a&sub=E-1c3f425b86b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M14,20220504-1235
16,14 juli,25 juli,8t. 30min. ,6t. 15min. ,1 stop VIE ,1 stop VIE ,07:05–16:35,17:25–22:40,Austrian Airlines,"
3.237 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.45791.af4cfb6442ae256b42f3c2dd358cd5f1&h=85a4ab3c2265&sub=E-13789a2df30&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M15,20220504-1235
17,14 juli,25 juli,7t. 40min. ,7t. 05min. ,1 stop MUC ,1 stop MUC ,06:10–14:50,15:50–21:55,Lufthansa,"
3.354 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.47446.f0de594003d0b13d99c94db938a0e389&h=bb973c8b5ef6&sub=E-1c5f380d8e4&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M16,20220504-1235
18,14 juli,25 juli,10t. 25min. ,6t. 15min. ,1 stop FRA ,1 stop VIE ,14:55–02:20+1,17:25–22:40,"Lufthansa, Austrian Airlines","
3.354 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.47446.cfd214fe489fc9b41a85b1e0930f9a94&h=66fff6d1b538&sub=E-196056d6c83&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M17,20220504-1235
19,14 juli,25 juli,7t. 40min. ,6t. 20min. ,1 stop MUC ,1 stop FRA ,06:10–14:50,17:10–22:30,Lufthansa,"
3.477 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.49186.15c5b25d233c587e7e70c98aac23ccba&h=75a5aea10db4&sub=E-1c5f380d8e4&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M18,20220504-1235
20,14 juli,25 juli,6t. 50min. ,8t. 45min. ,1 stop ATH ,"2 stop SKG, FRA ",17:30–01:20+1,14:45–22:30,Aegean Airlines,"
3.497 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.tb4DAgHpn3sEdn9PX-8xhQ.49462.d6d92abad6f8d7753d5e062d11ecf792&h=4d81fa307ff5&sub=E-1189fc906d1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M19,20220504-1235
