,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,14 juli,4t. 05min. ,direkte ,20:35–01:40+1,Wizz Air,"
1.317 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5252610&pid=TravellinkBranded_FSR_da_DK&prv=TravellinkBranded_FSR_da_DK&srch=LMHCiGHZZW&ploc=da_DK&atype=SponsoredResult&prc=1317.00&cpnid=7068600&xpExt=&aidExt=&lid=TravellinkBranded_FSR_da_DK-LMHCiGHZZW&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1657771200000&qend=1657771200000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=kM5Rp7DLydurTXNTDsiyRg==&ah=TxHOgm66cQ9L8bYJjQHYXEeFXPeHEkWNcGjwmjCBwUI&resid=68b7273d99eb7f4629f7af3212084aa2&bookid=E-1b0f2de0ade&seekProv=TRAVELLINK&trueProv=TRAVELLINK&fid=&rank=1&stid=&qadults=2&qchild=0&_sid_=R-5PWNVsX2HlZjLdIeJnMIY-jwbXSFYDnB6CBJhnJI2uEgee9Ag_b2DJIQ9Laxl8f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220505-1202
1,14 juli,4t. 05min. ,direkte ,20:35–01:40+1,Wizz Air,"
982 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.jw13uSv2aSsWFqH_7WKiog.13924.68b7273d99eb7f4629f7af3212084aa2&h=d1fc79cb011a&sub=E-1c851049c52&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220505-1202
2,14 juli,5t. 15min. ,1 stop BEG ,21:05–03:20+1,Air Serbia,"
1.715 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.ZheJHZqHLmzKJvcpKN_waA.24306.a780772575626d6ce090f552f0b68ff2&h=aefdbd3a521c&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220505-1202
3,14 juli,6t. 50min. ,1 stop ATH ,17:30–01:20+1,Aegean Airlines,"
1.281 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.18164.f9a4e7a4df5ebeabff0e96c7a73dd6b0&h=299e3c630f1f&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220505-1202
4,14 juli,7t. 35min. ,1 stop SKG ,07:00–15:35,Aegean Airlines,"
1.862 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.aXx7J4vJD0cDzQq2dWkU9A.26402.3aa8776c7008de442c9d361d80e83177&h=69c9f18840c3&sub=E-159a5c66abf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220505-1202
5,14 juli,7t. 35min. ,1 stop SKG ,07:00–15:35,"SAS, Aegean Airlines","
1.886 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.ZheJHZqHLmzKJvcpKN_waA.26729.ed0dec801e2fcaab7243cea7693491cc&h=68f7ca93458c&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220505-1202
6,14 juli,6t. 05min. ,1 stop FRA ,19:15–02:20+1,"SAS, Lufthansa","
2.539 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.7e2QikHpsTMDzQq2dWkU9A.36001.11d5f4102d571713e8ea77bb803f5415&h=5b094c3364b0&sub=E-1b967d7fc76&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220505-1202
7,14 juli,5t. 50min. ,1 stop ATH ,18:30–01:20+1,"SAS, Aegean Airlines","
2.589 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.tb4DAgHpn3sEdn9PX-8xhQ.36703.1e6df1a0c1607f4e6f4a73072b1f61da&h=0abb08fb6004&sub=E-1189fc906d1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220505-1202
8,14 juli,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.686 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.iQv-fVD2M68vemUm8g9gjQ.38079.2efe7852bc5a0aa396360fa8ea468894&h=cff90fe970b3&sub=E-1a418473856&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220505-1202
9,14 juli,5t. 45min. ,1 stop VIE ,09:50–16:35,Austrian Airlines,"
2.795 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.7e2QikHpsTMDzQq2dWkU9A.39619.38313dde2128c69ba9e8dc5a0b020cb5&h=ad5b778fc261&sub=E-1550e24f803&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220505-1202
10,14 juli,6t. 05min. ,1 stop FRA ,19:15–02:20+1,Lufthansa,"
2.902 kr. ",https://kayak.dk/book/flight?code=LMHCiGHZZW.e60g2LFm7BOKtDGeeN0IhQ.41148.674ab3d9e7fe7b06edd7f154ea9b95aa&h=79e322a56f75&sub=E-12504c486fe&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220505-1202
